Article,Text
Artigo 1.º,"A execução de novas edificações ou de quaisquer obras de construção civil, a reconstrução, ampliação, alteração, re paração ou  demolição das edif icações e obras existentes, e bem assim os tr abalhos que impliquem alteração da topografia local, dentro do perímetro urbano e das zonas rurais de protecção fixadas para as sedes de concelho e para  as demais localidades su jeitas por lei a plano de urbanização e expansão subordin ar-se-ão às disposições do presente regulamento.  § único  O presente regulamento aplicar-se-á,  ainda, nas zonas e localidades a que seja tornado extensivo por deliberação  municipal e, em todos os casos, as edificações de caráct er industrial ou  de utilização colect iva.  "
Artigo 2.º,"A execução das obras e trabalhos a que alude o artigo anterior ano pode ser levada a efeito sem previa licença da s câmaras municipais, as quais incumbe também a fiscalização do cumprimento das disposições deste regulamento.  §1.º Tratando-se de obras que, pela sua natureza ou localização, possam considerar-se de pequena importância sob os pontos de vista da salubridade, segurança ou estética, de signadamente pequenas construções para serviços rurais, obras ligeiras de conservaçã o ou outras de pequena monta em construções existentes que ano afectem a sua estrutura nem o seu aspecto geral, poderão as câmaras municipais dispensar a licença. §2.º Compete as câmaras municipais fixar em regulamento os limites precisos da isenção a que se refere o parágrafo anterior.  "
Artigo 3.º,"As câmaras municipais não poderão conceder licenças para a execução de quaisquer obras sem que previamente ve rifiquem que elas ano colidem com o plano de urbanização geral ou parcial aprovado para o local ou que, em todo o caso, não prejudicam a estética urbana.  § único A concessão de licença para a execuç ão de quaisquer obras será sempre condicionada à observância das demais pr escrições do presente regulamento, dos regulamentos municipais em vigor e bem assim de quaisquer outras disposições legais cuja aplicação incumba à ad ministração municipal assegurar. "
Artigo 3.º,Artigo 3.º-A É permitido as câmaras municipais recu sar licenças para novas construções em zonas sujeitas a plano de urbanização e expansão enquanto nelas não existam arruamentos e redes públicas de água e de saneamento.  
Artigo 4.º,"A concessão da licença para a execução de  qualquer obra e o próprio exercício da fiscalização municipal no seu decurso não isentam o dono da obra, ou o seu proposto ou comitido, da responsabilidade pela condução dos trabalhos em estrita concordância com as prescrições regulamentares e não poderão desobrigá-los da obediência a outros preceitos gerais ou especiais a que a edificação, pela sua localização ou natureza, haja de subordinar-se.  "
Artigo 5.º,"Os pedidos de licença para a execução de obras serão acompanhados dos elementos estritamente necessários ao ex acto esclarecimento das condições da sua realização, conforme se dispuser nos regulamentos municipais, na elaboração dos quais se terá em conta a importância, localização e finalidade de cada tipo de obras. § único  As câmaras municipais submeterão á aprovação da assembleia municipal os regulamentos municipais cuja el aboração é prevista neste artigo.  "
Artigo 6.º,"Nos projectos de novas construções e de reconstrução, ampliação e alteração de construções existentes serão sempre in dicados o destino da edificação e a utilização prevista para os diferentes compartimentos.  "
Artigo 7.º,"As obras relativas a novas edificações, a reedificações, a ampliações e alterações de edificações existentes não poderão ser iniciadas sem que pela respectiva câmara municipal seja fixado, quando ne cessário, o alinhamento de acordo com o plano geral, e dada a cota de nível.  "
Artigo 8.º,"A utilização de qualquer edificação nova, reconstruída, ampliada ou alterada, quando da alteração resultem modificações  importantes nas suas características, carece de licença municipal.  § 1.º  As câmaras municipais só poderão conc eder as licenças a que este artigo se refere em seguida à realização de vistoria  nos termos do § 1.º do artigo 51.º do Código Administrativo, destin ada a verificar se as obras obedeceram as condições da respectiva licença, ao projecto aprovado e as disposições legais e regulamentares aplicáveis. § 2.º  A licença de utilização só pode ser concedida depois de decorrido sobre a conclusão das obras o prazo fixado nos re gulamentos municipais, tendo em vista as exigências da salubridade relacionadas com a natureza da utilização. § 3.º  O disposto neste artigo é aplicável á utilização das edificações existentes para fins diversos dos anteriormente au torizados, não podendo a licença para este efeito ser concedida sem que se verifique a sua conformidade com as disposições legais e regulamentares aplicáveis. "
Artigo 9.º,"Artigo 9.º As edificações existentes deverão ser re paradas e beneficiadas pelo menos uma vez em cada período de oito anos, co m o fim de remediar as deficiências provenientes do seu uso normal e de as manter em boas condições de utilização, sob todos os aspectos de que trata o presente regulamento.  Revogado pelo Decreto-Lei n.º 555/99, de 16 de Dezembro, com as alterações introduzidas pelo Decreto-Lei n.º 177/2001,  de 4 de Junho  "
